Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
Flesh Golem,Medium,Construct,N,9,93,30,19,9,18,6,10,5,None,None,"Lightningimmu, poisonimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,5,"Berserk, Aversion of Fire, Immutable Form, Lightning Absorption, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Flying Snake,Tiny,Beast,U,14,5,"30, fly 60, swim 30",4,18,11,2,12,5,None,None,None,Blindsight 10,None,0.125,Flyby,Monster Manual,,Wizards of the Coast
Flying Sword,Small,Construct,U,17,17,50 fly,12,15,11,1,5,1,DEX,None,"Coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,0.25,"Antimagic, False",Monster Manual,,Wizards of the Coast
Frog,Tiny,Beast,U,11,1,"20, swim 20",1,13,8,1,8,3,None,"Perception, Stealth",None,Darkvision 30,None,0,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
Frost Giant,Huge,Giant,NE,15,138,40,23,9,21,9,10,12,"CON, WIS, CHA","Athletics, Perception",Coldimmu,Normal,Giant,8,None,Monster Manual,,Wizards of the Coast
Gargoyle,Medium,Elemental,CE,15,52,"30, fly 60",15,11,16,6,11,7,None,None,"Nonadamantineres, poisonimmu, exhaustionimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Terran,2,False Appearance,Monster Manual,,Wizards of the Coast
Gelatinous Cube,Large,Ooze,U,6,84,15,14,3,20,1,6,1,None,None,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,2,"Ooze Cube, Transparent",Monster Manual,,Wizards of the Coast
Ghast,Medium,Undead,CE,13,36,30,16,17,10,11,10,8,None,None,"Necroticres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,2,"Stench, Turning Defiance",Monster Manual,,Wizards of the Coast
Ghost,Medium,Undead,ANY,11,45,fly 40,7,13,10,10,12,17,None,None,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,4,"Ethereal Sight, Incorporeal Movement",Monster Manual,,Wizards of the Coast
Ghoul,Medium,Undead,CE,12,22,30,13,15,10,7,10,6,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,1,None,Monster Manual,,Wizards of the Coast
Giant Ape,Huge,Beast,U,12,157,"40, climb 40",23,14,18,7,12,7,None,"Athletics, Perception",None,Normal,None,7,None,Monster Manual,,Wizards of the Coast
Giant Badger,Medium,Beast,U,10,13,"30, burrow 10",13,10,15,2,12,5,None,None,None,Darkvision 30,None,0.25,Keen Smell,Monster Manual,,Wizards of the Coast
Giant Bat,Large,Beast,U,13,22,"10, fly 60",15,16,11,2,12,6,None,None,None,Blindsight 60,None,0.25,"Echolocation, Keen Hearing",Monster Manual,,Wizards of the Coast
Giant Boar,Large,Beast,U,12,42,40,17,10,16,2,7,5,None,None,None,Normal,None,2,"Charge, Relentless",Monster Manual,,Wizards of the Coast
Giant Centipede,small,Beast,U,13,4,30,5,14,12,1,7,3,None,None,None,Blindsight 30,None,0.25,None,Monster Manual,,Wizards of the Coast
Giant Constrictor Snake,Huge,Beast,U,12,60,"30, swim 30",19,14,12,1,10,3,None,Perception,None,Blindsight 10,None,2,None,Monster Manual,,Wizards of the Coast
Giant Crab,Medium,Beast,U,15,13,"30, swim 30",13,15,11,1,9,3,None,Stealth,None,Blindsight 30,None,0.125,Amphibious,Monster Manual,,Wizards of the Coast
Giant Crocodile,Huge,Beast,U,14,85,"30, swim 50",21,9,17,2,10,7,None,Stealth,None,Normal,None,5,Hold Breath,Monster Manual,,Wizards of the Coast
Giant Eagle,Large,Beast,U,13,26,"10, fly 80",16,17,13,8,14,10,None,Perception,None,Normal,"Own, Common, Auran",1,Keen Sight,Monster Manual,,Wizards of the Coast
Giant Elk,Huge,Beast,U,14,42,60,19,16,14,7,14,10,None,Perception,None,Normal,"Own, Common, Elvish, Sylvan",2,Charge,Monster Manual,,Wizards of the Coast
Giant Fire Beetle,small,Beast,U,13,4,30,8,10,12,1,7,3,None,None,None,Blindsight 30,None,0,Illumination,Monster Manual,,Wizards of the Coast
Giant Frog,Medium,Beast,U,11,18,"30, swim 30",12,13,11,2,10,3,None,"Perception, Stealth",None,Darkvision 30,None,0.25,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
Giant Goat,Large,Beast,U,11,19,40,17,11,12,3,12,6,None,None,None,Normal,None,0.5,"Charge, Sure-Footed",Monster Manual,,Wizards of the Coast
Giant Hyena,Large,Beast,U,12,45,50,16,14,14,2,12,7,None,Perception,None,Normal,None,1,Rampage,Monster Manual,,Wizards of the Coast
Giant Lizard,Large,Beast,U,12,19,"30, climb 30",15,12,13,2,10,5,None,None,None,Darkvision 30,None,0.25,None,Monster Manual,,Wizards of the Coast
Giant Octopus,Large,Beast,U,11,52,"10, swim 60",17,13,13,4,10,4,None,"Perception, Stealth",None,Darkvision 60,None,1,"Hold Breath, Underwater Camouflage, Water Breathing",Monster Manual,,Wizards of the Coast
Giant Owl,Large,Beast,U,12,19,"5, fly 60",13,15,12,8,13,10,None,"Perception, Stealth",None,Darkvision 120,"Own, Common, Elvish, Sylvan",0.25,"FLyby, Keen Hearing, Keen Sight",Monster Manual,,Wizards of the Coast
Giant Poisonous Snake,Medium,Beast,U,14,11,"30, swim 30",10,18,13,2,10,3,None,Perception,None,Blindsight 10,None,0.25,None,Monster Manual,,Wizards of the Coast
Giant Rat,Small,Beast,U,12,7,30,7,15,11,2,10,4,None,None,None,Darkvision 60,None,0.125,"Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Giant Scorpion,Large,Beast,U,15,52,40,15,13,15,1,9,3,None,None,None,Blindsight 60,None,3,None,Monster Manual,,Wizards of the Coast
Giant Sea Horse,Large,Beast,U,13,16,swim 40,12,15,11,2,12,5,None,None,None,Normal,None,0.5,"Charge, Water Breathing",Monster Manual,,Wizards of the Coast
Giant Shark,Huge,Beast,U,13,126,swim 50,23,11,21,1,10,5,None,Perception,None,Blindsight 60,None,5,"Blood Frenzy, Water Breathing",Monster Manual,,Wizards of the Coast
Giant Spider,Large,Beast,U,14,26,"30, climb 30",14,16,12,2,11,4,None,Stealth,None,"Blindsight 10, darkvision 60",None,1,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
Giant Toad,Large,Beast,U,11,39,"20, swim 40",15,13,13,2,10,3,None,None,None,Darkvision 30,None,1,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
Giant Vulture,Large,Beast,NE,10,22,"10, fly 60",15,10,15,6,12,7,None,Perception,None,Normal,Common,1,"Keen Sight, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Giant Wasp,Medium,Beast,U,12,13,"10, fly 50",10,14,10,1,10,3,None,None,None,Normal,None,0.5,None,Monster Manual,,Wizards of the Coast
Giant Weasel,Medium,Beast,U,13,9,40,11,16,10,4,12,5,None,"Perception, Stealth",None,Darkvision 60,None,0.125,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
Giant Wolf Spider,Medium,Beast,U,13,11,"40, climb 40",12,16,13,3,12,4,None,"Perception, Stealth",None,"Blindsight 10, darkvision 60",None,0.25,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
Gibbering Mouther,Medium,Aberration,N,9,67,"10, swim 10",10,8,16,3,10,6,None,None,Proneimmu,Darkvision 60,None,2,"Aberrant Ground, Gibbering",Monster Manual,,Wizards of the Coast
Glabrezu,Large,Fiend (Demon),CE,17,157,40,20,15,21,19,17,16,"STR, CON, WIS, CHA",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",9,"Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
Gladiator,Medium,Humanoid,ANY,16,112,30,18,15,16,10,12,15,"STR, DEX, CON, INT, WIS","Athletics, Intimidation",None,Normal,Any,5,"Brave, Brute",Monster Manual,,Wizards of the Coast
Gnoll,Medium,Humanoid,CE,15,22,30,14,12,11,6,10,7,None,None,None,Darkvision 60,Gnoll,0.5,Rampage,Monster Manual,,Wizards of the Coast
Goat,Medium,Beast,U,10,4,40,12,10,11,2,10,5,None,None,None,Normal,None,0,"Charge, Sure-Footed",Monster Manual,,Wizards of the Coast
Goblin,small,Humanoid,NE,15,7,30,8,14,10,10,8,8,None,Stealth,None,Darkvision 60,"Common, Goblin",0.25,Nimble Escape,Monster Manual,,Wizards of the Coast
Gold Dragon Wyrmling,Medium,Dragon,LG,17,60,"30, fly 60, swim 30",19,14,17,14,11,16,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 10, darkvision 60",Draconic,3,Amphibious,Monster Manual,,Wizards of the Coast
Gorgon,Large,Construct,U,19,114,40,20,11,18,2,12,7,None,Perception,Petrifiedimmu,Darkvision 60,None,5,Trampling Charge,Monster Manual,,Wizards of the Coast
Gray Ooze,Medium,Ooze,U,8,22,"10, climb 10",12,6,16,1,6,2,None,Stealth,"Acidres, coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,0.5,"Amorphous, Corrode Metal, False Appearance",Monster Manual,,Wizards of the Coast
Green Dragon Wyrmling,Medium,Dragon,LE,17,38,"30, fly 60, swim 30",15,12,13,14,11,13,"DEX, CON, WIS, CHA","Perception, Stealth","Poisonimmu, poisonedimmu","Blindsight 30, darkvision 120",Draconic,2,Amphibious,Monster Manual,,Wizards of the Coast
Green Hag,Medium,Fey,NE,17,82,30,18,12,16,13,14,14,None,"Arcana, Deception, Perception, Stealth",None,Darkvision 60,"Common, Draconic, Sylvan",3,"Amphibious, Innate Spellcasting, Mimicry",Monster Manual,,Wizards of the Coast
Grick,Medium,Monstrosity,N,14,27,"30, climb 30",14,14,11,3,14,5,None,None,Nonmagicalres,Darkvision 60,None,2,Stone Camouflage,Monster Manual,,Wizards of the Coast
Griffon,Large,Monstrosity,U,12,59,"30, fly 80",18,15,16,2,13,8,None,Perception,None,Darkvision 60,None,2,Keen Sight,Monster Manual,,Wizards of the Coast
Grimlock,Medium,Humanoid,NE,11,11,30,16,12,12,9,8,6,None,"Athletics, Perception, Stealth",Blindedimmu,Blindsight 30,Undercommon,0.25,"Blind Senses, Keen Hearing, Keen Smell, Stone Camouflage",Monster Manual,,Wizards of the Coast
Guard,Medium,Humanoid,ANY,16,11,30,13,12,12,10,11,10,None,Perception,None,Normal,Any,0.125,None,Monster Manual,,Wizards of the Coast
Guardian Naga,Large,Monstrosity,LG,18,127,40,19,18,16,16,19,18,"DEX, CON, INT, WIS, CHA",None,"Poisonimmu, charmedimmu, poisonedimmu",Darkvision 60,"Celestial, Common",10,"Rejuvenation, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Gynosphinx,Large,Monstrosity,LN,17,136,"40, fly 60",18,15,16,18,18,18,None,"Arcana, History, Perception, Religion","Nonmagicalres, psychicimmu, charmedimmu, frightenedimmu",Truesight 120,"Common, Own",11,"Inscrutable, Magic Weapons, Normal Spellcasting, Legendary, Lair",Monster Manual,,Wizards of the Coast
Harpy,Medium,Monstrosity,CE,11,38,"20, fly 40",12,13,12,7,10,13,None,None,None,Normal,Common,1,None,Monster Manual,,Wizards of the Coast
Hawk,Tiny,Beast,U,13,1,"10, fly 60",5,16,8,2,14,6,None,Perception,None,Normal,None,0,Keen Sight,Monster Manual,,Wizards of the Coast
Hell Hound,Medium,Fiend,LE,15,45,50,17,12,14,6,13,6,None,Perception,Fireimmu,Darkvision 60,Infernal,3,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Hezrou,Large,Fiend (Demon),CE,16,136,30,19,17,20,5,12,13,"STR, CON, WIS",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",8,"Magic Resistance, Stench",Monster Manual,,Wizards of the Coast
Hill Giant,Huge,Giant,CE,13,105,40,21,8,19,5,9,6,None,Perception,None,Normal,Giant,5,None,Monster Manual,,Wizards of the Coast
Hippogriff,Large,Monstrosity,U,11,19,"40, fly 60",17,13,13,2,12,8,None,Perception,None,Normal,None,1,Keen Sight,Monster Manual,,Wizards of the Coast
Hobgoblin,Medium,Humanoid,LE,18,11,30,13,12,12,10,10,9,None,None,None,Darkvision 60,"Common, Goblin",0.5,Martial Advantage,Monster Manual,,Wizards of the Coast
Homunculus,Tiny,Construct,N,13,5,"20, fly 40",4,15,11,10,10,7,None,None,"Poisonimmu, charmedimmu, poisonedimmu",Darkvision 60,Creator,0,Telepathic Bond,Monster Manual,,Wizards of the Coast
Horned Devil,Large,Fiend (Devil),LE,18,178,"20, fly 60",22,17,21,12,16,17,"STR, DEX, WIS, CHA",None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",11,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Hunter Shark,Large,Beast,U,12,45,swim 40,18,13,15,1,10,4,None,Perception,None,Blindsight 30,None,2,"Blood Frenzy, Water Breathing",Monster Manual,,Wizards of the Coast
Hydra,Huge,Monstrosity,U,15,172,"30, swim 30",20,12,20,2,10,7,None,Perception,None,Darkvision 60,None,8,"Hold Breath, Multiple Heads, Reactive Heads, Wakeful",Monster Manual,,Wizards of the Coast
Hyena,Medium,Beast,U,11,5,50,11,13,12,2,12,5,None,Perception,None,Normal,None,0,Pack Tactics,Monster Manual,,Wizards of the Coast
Ice Devil,Large,Fiend (Devil),LE,18,180,40,21,14,18,18,15,18,"DEX, CON, WIS, CHA",None,"Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Infernal, telepathy 120",14,"Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Ice Mephit,Small,Elemental,NE,11,21,"30, fly 30",7,13,10,9,11,12,None,"Perception, Stealth","Bludgeoningweak, fireweak, coldimmu, poisonimmu, poisonedimmu",Darkvision 60,"Aquan, Auran",0.5,"Death Burst, False Appearance, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Imp,Tiny,Fiend (Devil),LE,13,10,"20, 40 fly",6,17,13,11,12,14,None,"Deception, Insight, Persuasion, Stealth","Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, Common",1,"Shapechanger, Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Invisible Stalker,Medium,Elemental,N,14,104,"50, fly 50",16,19,14,10,15,11,None,"Perception, Stealth","Nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconscious",Darkvision 60,"Auran, Common",6,"Invisibility, Faultless Tracker",Monster Manual,,Wizards of the Coast
Iron Golem,Large,Construct,U,20,210,30,24,9,20,3,11,1,None,None,"Fireimmu, poisonimmu, psychicimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 120,Creator,16,"Fire Absorption, Immutable Form, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Jackal,Small,Beast,U,12,3,40,8,15,11,3,12,6,None,Perception,None,Normal,None,0,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Killer Whale,Huge,Beast,U,12,90,swim 60,19,10,13,3,12,7,None,Perception,None,Blindsight 120,None,3,"Echolocation, Hold Breath, Keen Hearing",Monster Manual,,Wizards of the Coast
Knight,Medium,Humanoid,ANY,18,52,30,16,11,14,11,11,15,"CON, WIS",None,None,Normal,Any,3,Brave,Monster Manual,,Wizards of the Coast
Kobold,Small,Humanoid,LE,12,5,30,7,15,9,8,7,8,None,None,None,Darkvision 60,"Common, Draconic",0.125,"Sunlight Sensitivity, Pack Tactics",Monster Manual,,Wizards of the Coast
Kraken,Gargantuan,Monstrosity,CE,18,472,"20, swim 60",30,11,25,22,18,20,"STR, DEX, CON, INT, WIS",None,"Lightningimmu, nonmagicalimmu, frightenedimmu, paralyzedimmu",Truesight 120,"Abyssal, Celestial, Infernal, Primordial, telepathy 120",23,"Amphibious, Freedom of Movement, Siege Monster, Lair, Legendary",Monster Manual,,Wizards of the Coast
Lamia,Large,Monstrosity,CE,13,97,30,16,13,15,14,15,16,None,"Deception, Insight, Stealth",None,Darkvision 60,"Abyssal, Common",4,Innate Spellcasting,Monster Manual,,Wizards of the Coast
Lemure,Medium,Fiend (Devil),LE,7,13,15,10,5,11,1,11,3,None,None,"Coldres, fireimmu, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Infernal,0,"Devil's Sight, Hellish Rejuvenation",Monster Manual,,Wizards of the Coast
Lich,Medium,Undead,ANY EVIL,17,135,30,11,16,16,20,14,16,"CON, INT, WIS","Arcana, History, Insight, Perception","Coldres, lightningres, necroticres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Truesight 120,"Common, Any",21,"Legendary, Rejuvenation, Normal Spellcasting, Turn Resistance, Lair",Monster Manual,,Wizards of the Coast
Lion,Large,Beast,U,12,26,50,17,15,13,3,12,8,None,"Perception, Stealth",None,Normal,None,1,"Keen Smell, Pack Tactics, Pounce, Running Leap",Monster Manual,,Wizards of the Coast
Lizard,Tiny,Beast,U,10,2,"20, climb 20",2,11,10,1,8,3,None,None,None,Darkvision 30,None,0,None,Monster Manual,,Wizards of the Coast
Lizardfolk,Medium,Humanoid,N,15,22,"30, swim 30",15,10,13,7,12,7,None,"Perception, Stealth, Survival",None,Normal,Draconic,0.5,Hold Breath,Monster Manual,,Wizards of the Coast
Mage,Medium,Humanoid,ANY,12,40,30,9,14,11,17,12,11,"INT, WIS","Arcana, History",None,Normal,Any,6,Normal Spellcasting,Monster Manual,,Wizards of the Coast
Magma Mephit,Small,Elemental,NE,11,22,"30, fly 30",8,12,12,7,10,10,None,Stealth,"Coldweak, fireimmu, poisonimmu",Darkvision 60,"Ignan, Terran",0.5,"Death Burst, False Appearance, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Magmin,Small,Elemental,CN,14,9,30,7,15,12,8,11,10,None,None,"Nonmagicalres, fireimmu",Darkvision 60,Ignan,0.5,"Death Burst, Ignited Illumination",Monster Manual,,Wizards of the Coast
Mammoth,Huge,Beast,U,13,126,40,24,9,21,3,11,6,None,None,None,Normal,None,6,Trampling Charge,Monster Manual,,Wizards of the Coast
Manticore,Large,Monstrosity,LE,14,68,"30, fly 50",17,16,17,7,12,8,None,None,None,Darkvision 60,Common,3,Tail Spike Regrowth,Monster Manual,,Wizards of the Coast
Marilith,Large,Fiend (Demon),CE,18,189,40,18,20,20,18,16,20,"STR, CON, WIS, CHA",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",16,"Magic Resistance, Magic Weapons, Reactive",Monster Manual,,Wizards of the Coast
Mastiff,Medium,Beast,U,12,5,40,13,14,12,3,12,7,None,Perception,None,Normal,None,0.125,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
Medusa,Medium,Monstrosity,LE,15,127,30,10,15,16,12,13,15,None,"Deception, Insight, Perception, Stealth",None,Darkvision 60,Common,6,Petrifying Gaze,Monster Manual,,Wizards of the Coast
Merfolk,Medium,Humanoid,N,11,11,"10, swim 40",10,13,12,11,11,12,None,Perception,None,Normal,"Aquan, Common",0.125,Amphibious,Monster Manual,,Wizards of the Coast
Merrow,Large,Monstrosity,CE,13,45,"10, swim 40",18,10,15,8,10,9,None,"Death Burst, Innate Spellcasting",None,Darkvision 60,"Abyssal, Aquan",2,Amphibious,Monster Manual,,Wizards of the Coast
Mimic,Medium,Monstrosity,N,12,58,15,17,12,15,5,13,8,None,Stealth,"Acidimmu, proneimmu",Darkvision 60,None,2,"Shapechanger, Adhesive, False Appearance, Grappler",Monster Manual,,Wizards of the Coast
Minotaur,Large,Monstrosity,CE,14,76,40,18,11,16,6,16,9,None,Perception,None,Darkvision 60,Abyssal,3,"Charge, Labyrinthine Recall, Reckless",Monster Manual,,Wizards of the Coast
Minotaur Skeleton,Large,Undead,LE,12,67,40,18,11,15,6,8,5,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Abyssal,2,Charge,Monster Manual,,Wizards of the Coast
Mule,Medium,Beast,U,10,11,40,14,10,13,2,10,5,None,None,None,Normal,None,0.125,"Beast of Burden, Sure-Footed",Monster Manual,,Wizards of the Coast
Mummy,Medium,Undead,LE,11,58,20,16,8,15,6,10,12,WIS,None,"Fireweak, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,Any,3,None,Monster Manual,,Wizards of the Coast
Mummy Lord,Medium,Undead,LE,17,97,20,18,10,17,11,18,16,"CON, INT, WIS, CHA","History, Religion","Fireweak, necroticimmu, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,Any,15,"Magic Resistance, Rejuvenation, Normal Spellcasting, Legendary, Lair",Monster Manual,,Wizards of the Coast
Nalfeshnee,Large,Fiend (Demon),LE,18,184,"20, fly 30",21,10,22,19,12,15,"CON, INT, WIS, CHA",None,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",Truesight 120,"Abyssal, telepathy 120",13,Magic Resistance,Monster Manual,,Wizards of the Coast
Night Hag,Medium,Fiend,NE,17,112,30,18,15,16,16,14,16,None,"Deception, Insight, Perception, Stealth","Coldres, fireres, nonmagicalres, nonsilveredres, charmedimmu",Darkvision 120,"Abyssal, Common, Infernal, Primordial",5,"Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
Nightmare,Large,Fiend,NE,13,68,"60, fly 90",18,15,16,10,13,15,None,None,Fireimmu,Normal,"Abyssal, Common, Infernal",3,"Confer Fire Resistance, Illumination",Monster Manual,,Wizards of the Coast
Noble,Medium,Humanoid,ANY,15,9,30,11,12,11,12,14,16,None,"Deception, Insight, Persuasion",None,Normal,Any,0.125,None,Monster Manual,,Wizards of the Coast
Ochre Jelly,Large,Ooze,U,8,45,"10, climb 10",15,6,14,2,6,1,None,None,"Acidres, lightningimmu, slashingimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,2,"Amorphous, Spider Climb",Monster Manual,,Wizards of the Coast
Octopus,Small,Beast,U,12,3,"5, swim 30",4,15,11,3,10,4,None,"Perception, Stealth",None,Darkvision 30,None,0,"Hold Breath, Underwater Camouflage, Water Breathing",Monster Manual,,Wizards of the Coast
Ogre,Large,Giant,CE,11,59,40,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",2,None,Monster Manual,,Wizards of the Coast
Ogre Zombie,Large,Undead,NE,8,93,30,19,6,18,3,6,5,WIS,None,"Poisonimmu, poisonedimmu",Darkvision 60,"Common, Giant",2,Undead Fortitude,Monster Manual,,Wizards of the Coast
Oni,Large,Giant,LE,16,110,"30, fly 30",19,11,16,14,12,15,"DEX, CON, WIS, CHA","Arcana, Deception, Perception",None,Darkvision 60,"Common, Giant",7,"Innate Spellcasting, Magic Weapons, Regeneration",Monster Manual,,Wizards of the Coast
Orc,Medium,Humanoid,CE,13,15,30,16,12,16,7,11,10,None,Intimidation,None,Darkvision 60,"Common, Orc",0.5,Aggressive,Monster Manual,,Wizards of the Coast
Otyugh,Large,Aberration,N,14,114,30,16,11,19,6,13,6,CON,None,None,Darkvision 120,Own,5,Limited Telepathy,Monster Manual,,Wizards of the Coast
Owl,Tiny,Beast,U,11,1,"5, fly 60",3,13,8,2,12,7,None,"Perception, Stealth",None,Darkvision 120,None,0,"FLyby, Keen Hearing, Keen Sight",Monster Manual,,Wizards of the Coast
Owlbear,Large,Monstrosity,U,13,59,40,20,12,17,3,12,7,None,Perception,None,Darkvision 60,None,3,"Keen Sight, Keen Smell",Monster Manual,,Wizards of the Coast
Panther,Medium,Beast,U,12,13,"50, climb 40",14,15,10,3,14,7,None,"Perception, Stealth",None,Normal,None,0.25,"Keen Smell, Pounce",Monster Manual,,Wizards of the Coast
Pegasus,Large,Celestial,CG,12,59,"60, fly 90",18,15,16,10,15,13,"DEX, WIS, CHA",Perception,None,Normal,"Celestial, Common, Elvish, Sylvan",2,None,Monster Manual,,Wizards of the Coast
